tipo,titulo,ano,pais,evento,cidade,periodico,editora,descricao,autores,Qualis,,
Artigo Publicado,Boamente: A Natural Language Processing-Based Digital Phenotyping Tool for Smart Monitoring of Suicidal Ideation,2022,,,,Healthcare,,,"DINIZ, EVANDRO J. S. (DINIZ, EVANDRO J. S.), Ariel Soares Teles (TELES, ARIEL S.), FONTENELE, JOSÉ E. (FONTENELE, JOSÉ E.), DE OLIVEIRA, ADONIAS C. (DE OLIVEIRA, ADONIAS C.), BASTOS, VICTOR H. (BASTOS, VICTOR H.), TEIXEIRA, SILMAR (TEIXEIRA, SILMAR), RABÊLO, RICARDO L. (RABÊLO, RICARDO L.), CALÇADA, DARIO B. (CALÇADA, DARIO B.), DOS SANTOS, RENATO M. (DOS SANTOS, RENATO M.), DE OLIVEIRA, ANA K. (DE OLIVEIRA, ANA K.)",A3,,
Artigo Publicado,Motor Rehabilitation of Upper Limbs Using a Gesture-based Serious Game: Evaluation of Usability and User Experience,2022,,,,Games for Health Journal,,,"BALUZ, RODRIGO (BALUZ, RODRIGO), TEIXEIRA, SILMAR (TEIXEIRA, SILMAR), Ariel Soares Teles (Teles, Ariel), FONTENELE, JOSÉ EVERTON (FONTENELE, JOSÉ EVERTON), MOREIRA, RAYELE (MOREIRA, RAYELE), FIALHO, RENAN (FIALHO, RENAN), AZEVEDO, PATRÍCIA (AZEVEDO, PATRÍCIA), SOUSA, DANIEL (SOUSA, DANIEL), SANTOS, FERNANDO (SANTOS, FERNANDO), BASTOS, VICTOR HUGO (BASTOS, VICTOR HUGO)",A3,,
Artigo Publicado,Neighborhood-aware Mobile Hub: An Edge Gateway with Leader Election Mechanism for Internet of Mobile Things,2022,,,,MOBILE NETWORKS & APPLICATIONS,,,"SILVA, MARCELINO (SILVA, MARCELINO), Ariel Soares Teles (Teles, Ariel), LOPES, RAFAEL (LOPES, RAFAEL), SILVA, FRANCISCO (SILVA, FRANCISCO), VIANA, DAVI (VIANA, DAVI), COUTINHO, LUCIANO (COUTINHO, LUCIANO), GUPTA, NISHU (GUPTA, NISHU), Markus Endler (ENDLER, Markus)",B2,,
Artigo Publicado,Efeitos da fisioterapia aquática no equilíbrio de pacientes pós-acidente vascular encefálico: uma revisão integrativa,2022,,,,FISIOTERAPIA BRASIL,,,"SANTOS, ANTONIA CRISTINA SILVA DOS (SANTOS, ANTONIA CRISTINA SILVA DOS), SIQUEIRA, JÉSSICA INARA DE BRITO (SIQUEIRA, JÉSSICA INARA DE BRITO), NASCIMENTO, LUCAS DA SILVA (NASCIMENTO, LUCAS DA SILVA), Ariel Soares Teles (Teles, Ariel Soares), ORSINI, MARCO (ORSINI, MARCO), SILVA, JANAÍNA DE MORAES (SILVA, JANAÍNA DE MORAES), SOUZA, NÉLIO SILVA (SOUZA, NÉLIO SILVA), ALBUQUERQUE DA SILVA, ARIELA THAÍS (ALBUQUERQUE DA SILVA, ARIELA THAÍS), TEIXEIRA, SILMAR (TEIXEIRA, SILMAR), BASTOS, VICTOR HUGO DO VALE (BASTOS, VICTOR HUGO DO VALE), PRATTI, BÁRBARA BERNABÉ (PRATTI, BÁRBARA BERNABÉ), LIMA, DEISIANE PEREIRA DE (LIMA, DEISIANE PEREIRA DE), CARVALHO, LARISSA TORQUATO DE (CARVALHO, LARISSA TORQUATO DE), SANTOS, TAYNARA ESPERANÇA SILVA (SANTOS, TAYNARA ESPERANÇA SILVA), MONTELO, ELIVELTON SOUSA (MONTELO, ELIVELTON SOUSA), FILGUEIRAS, JARDESON ROCHA (FILGUEIRAS, JARDESON ROCHA), NASCIMENTO, JAQUELINE FERNANDES DO (NASCIMENTO, JAQUELINE FERNANDES DO), PEREIRA, TASSIANE MARIA ALVES (PEREIRA, TASSIANE MARIA ALVES)",A2,,
Artigo Publicado,A Pandemia da COVID-19 impactou o ENEM? Uma Análise Comparativa de Dados dos Anos de 2019 e 2020,2022,,,,RENOTE. REVISTA NOVAS TECNOLOGIAS NA EDUCAÇÃO,,,"WEBER NETO, NELSON (WEBER NETO, NELSON), C. SOARES, RAIMUNDO (C. SOARES, RAIMUNDO), REIS COUTINHO, LUCIANO (REIS COUTINHO, LUCIANO), Ariel Soares Teles (SOARES TELES, ARIEL)",A4,,
Artigo Publicado,How can machine learning identify suicidal ideation from user's texts? Towards the explanation of the Boamente system,2022,,,,PROCEDIA COMPUTER SCIENCE,,,"DE OLIVEIRA, ADONIAS C. (DE OLIVEIRA, ADONIAS C.), DINIZ, EVANDRO J.S. (DINIZ, EVANDRO J.S.), TEIXEIRA, SILMAR (TEIXEIRA, SILMAR), Ariel Soares Teles (TELES, ARIEL S.)",A4,,
Artigo Publicado,A Telemedicine Platform for Aphasia: Protocol for a Development and Usability Study,2022,,,,JMIR RESEARCH PROTOCOLS,,,"NUNES, MONARA (NUNES, MONARA), Ariel Soares Teles (Teles, Ariel Soares), FARIAS, DANIEL (FARIAS, DANIEL), DINIZ, CLAUDIA (DINIZ, CLAUDIA), BASTOS, VICTOR HUGO (BASTOS, VICTOR HUGO), TEIXEIRA, SILMAR (TEIXEIRA, SILMAR)",B3,,
Artigo Publicado,Digital Phenotyping of Mental Health using multimodal sensing of multiple situations of interest: A Systematic Literature Review,2023,,,,JOURNAL OF BIOMEDICAL INFORMATICS,,,"MOURA, IVAN (MOURA, IVAN), Ariel Soares Teles (Teles, Ariel), VIANA, DAVI (VIANA, DAVI), Marques, Jean (Marques, Jean), COUTINHO, LUCIANO (COUTINHO, LUCIANO), SILVA, FRANCISCO (SILVA, FRANCISCO)",B2,,
Artigo Publicado,DATA ANALYSIS TO IDENTIFY THE IMPACT OF THE COVID-19 PANDEMIC ON ENEM IN 3 STATES OF NORTHEAST BRAZIL,2022,,,,REVISTA DE SISTEMAS E COMPUTAÇÃO - RSC,,,"WEBER NETO, NELSON (WEBER NETO, NELSON), SOARES, RAIMUNDO CASTRO (SOARES, RAIMUNDO CASTRO), COUTINHO, LUCIANO REIS (COUTINHO, LUCIANO REIS), Ariel Soares Teles (Teles, Ariel Soares)",A3,,
Artigo Publicado,Lhia: A Smart Chatbot for Breastfeeding Education and Recruitment of Human Milk Donors,2023,,,,Applied Sciences-Basel,,,"CORRÊA, JOECKSON SANTOS (CORRÊA, JOECKSON SANTOS), NETO, ARI PEREIRA DE ARAÚJO (NETO, ARI PEREIRA DE ARAÚJO), PINTO, GIOVANNY REBOUÇAS (PINTO, GIOVANNY REBOUÇAS), LIMA, LUCAS DANIEL BATISTA (LIMA, LUCAS DANIEL BATISTA), Ariel Soares Teles (Teles, Ariel Soares)",A1,,
Artigo Publicado,Minerando Dados para Entender os Fatores de Influência da Qualidade Educacional do Maranhão,2023,,,,Revista Brasileira de Informática na Educação (RBIE),,,"SOARES, RAIMUNDO DE CASTRO (SOARES, RAIMUNDO DE CASTRO), WEBER NETO, NELSON (WEBER NETO, NELSON), COUTINHO, LUCIANO REIS (COUTINHO, LUCIANO REIS), SANTOS, DAVI VIANA DOS (SANTOS, DAVI VIANA DOS), SILVA, FRANCISCO JOSÉ DA SILVA E (SILVA, FRANCISCO JOSÉ DA SILVA E), Ariel Soares Teles (Teles, Ariel Soares)",B4,,
Artigo Publicado,A Serious Game for Students with Math Learning Difficulties: Co-design-basedDevelopment and User Experience Evaluation Study,2023,,,,RENOTE. REVISTA NOVAS TECNOLOGIAS NA EDUCAÇÃO,,,"Rodson Regi de Sousa Correia (CORREIA, R. R. S.), José Diógenes S. Ferreira (FERREIRA, J. D. S.), Silmar Silva Teixeira (TEIXEIRA, S. S.), Ariel Soares Teles (Teles, Ariel Soares)",A4,,
Artigo Publicado,Neural Networks to Recognize Patterns in Topographic Images of Cortical Electrical Activity of Patients with Neurological Diseases,2022,,,,BRAIN TOPOGRAPHY,,,"DE MENESES, FRANCISCO GERSON A. (DE MENESES, FRANCISCO GERSON A.), Ariel Soares Teles (Teles, Ariel Soares), NUNES, MONARA (NUNES, MONARA), DA SILVA FARIAS, DANIEL (DA SILVA FARIAS, DANIEL), TEIXEIRA, SILMAR (TEIXEIRA, SILMAR)",A4,,
Artigo Publicado,"A construção sócio-religiosa, política e cultural da mulher brasileira: do patriarcado colonial a contemporaneidade",2019,,,,Correlatio (Online),,,"Vicente Gregório de Sousa Filho (SOUSA FILHO, V. G.;FILHO, VICENTE GREGORIO DE SOUSA;DE SOUSA FILHO, VICENTE GREGÓRIO), CONCEIÇÃO DE MARIA DE OLIVEIRA MIRANDA (MIRANDA, C. M. O.), ANTONIO MICHEL DE JESUS DE OLIVEIRA MIRANDA (MIRANDA, A. M. J. O.), GEISA HUPP FERNANDES LACERDA (LACERDA, G. H. F.)",A4,,
Artigo Publicado,"PARADIGMAS NORTEADORES DA HISTÓRIA DA EDUCAÇÃO SEXUAL NO BRASIL: NAS PEGADAS DO HIGIENISMO, DO CONSERVADORISMO RELIGIOSO E DA DEFESA DOS DIREITOS HUMANOS",2019,,,,Unitas ? Revista Eletrônica de Teologia e Ciências das Religiões,,,"Vicente Gregório de Sousa Filho (SOUSA FILHO, V. G.;FILHO, VICENTE GREGORIO DE SOUSA;DE SOUSA FILHO, VICENTE GREGÓRIO)",B3,,
Artigo Publicado,Mulher e igreja: a teologia feminista em face católica,2020,,,,Correlatio (Online),,,"Vicente Gregório de Sousa Filho (FILHO, VICENTE GREGORIO DE SOUSA), MIRANDA, CONCEIÇÃO DE MARIA DE OLIVEIRA (MIRANDA, CONCEIÇÃO DE MARIA DE OLIVEIRA), MIRANDA, ANTONIO MICHEL DE JESUS DE OLIVEIRA (MIRANDA, ANTONIO MICHEL DE JESUS DE OLIVEIRA), DE RODRIGUES, ERIKA BARROS (DE RODRIGUES, ERIKA BARROS)",A4,,
Artigo Publicado,O OBSERVADOR NO ESTUDO DAS RELIGIÕES: A ETNOGRAFIA ENTRE GEERTZ E GOLDMAN,2020,,,,FRAGMENTOS DE CULTURA,,,"Vicente Gregório de Sousa Filho (SOUSA FILHO, V. G.), ARIEL MIRANDA SILVA (SILVA, A. M.), ANTONIO MICHEL DE JESUS DE OLIVEIRA MIRANDA (MIRANDA, A. M. J. O.), GEISA HUPP FERNANDES LACERDA (LACERDA, G. H. F.), JACKSON GOMES DE REZENDE (REZENDE, J. G.), EDESON DOS ANJOS SILVA (SILVA, E. A.)",A2,,
Artigo Publicado,FORMAÇÃO DOCENTE EM ENSINO RELIGIOSO: UM DIÁLOGO COM A POLÍTICA NACIONAL,2020,,,,CAMINHOS (GOIÂNIA. ONLINE),,,"ANTONIO MICHEL DE JESUS DE OLIVEIRA MIRANDA (MIRANDA, A. M. J. O.), RENATA CRISTINA DA CUNHA (CUNHA, R. C.), ANDERSON CLAYTON NUNES FERREIRA (FERREIRA, A. C. N.), Vicente Gregório de Sousa Filho (SOUSA FILHO, V. G.)",A4,,
Artigo Publicado,Pensamento político de maquiavel: dicotomia entre ética e governo para conquista e manutenção do poder,2023,,,,CUADERNOS DE EDUCACIÓN Y DESARROLLO,,,"Vicente Gregório de Sousa Filho (SOUSA FILHO, V. G.), Liana Eida Marques dos Reis (REIS, L. E. M.), Antonio Vitor Silva Conceição (CONCEICAO, A. V. S.), Hellem Torres Saraiva (SARAIVA, H. T.), Isa Marília Silva de Oliveira (OLIVEIRA, I. M. S.), João Paulo Leite Rocha (ROCHA, J. P. L.), Sílvia Mônica Moura Lima (LIMA, S. M. M.)",A2,,
Artigo Publicado,O ser e o fazer-se catequista: do querigma à mistagogia,2023,,,,CUADERNOS DE EDUCACIÓN Y DESARROLLO,,,"Vicente Gregório de Sousa Filho (DE SOUSA FILHO, VICENTE GREGÓRIO)",A2,,
Artigo Publicado,Evidências da integração produtiva entre Brasil e Argentina no contexto do MERCOSUL (1993-2019),2022,,,,ESTUDIOS ECONÓMICOS,,,"Thiago Peixoto de Almeida Cavalcante (DE ALMEIDA CAVALCANTE, THIAGO PEIXOTO), MILAN, MARCELO (MILAN, MARCELO), MORRONE, HENRIQUE (MORRONE, HENRIQUE)",A4,,
Artigo Publicado,DO ESQUADRINHAMENTO AO BATE-PAPO,2019,,,,VIVÊNCIA: REVISTA DE ANTROPOLOGIA,,,"Fabrício de Sousa Sampaio (SAMPAIO, F. S.)",A1,,
Artigo Publicado,A intencionalidade formativa dos projetos de vida do PNLD 2021,2022,,,,Ensino Em Perspectivas,,,"Fabrício de Sousa Sampaio (SAMPAIO, F. S.)",A1,,
Artigo Publicado,O perigo de todes! Considerações em torno do banheiro neutro em Fortaleza,2022,,,,O PÚBLICO E O PRIVADO,,,"Fabrício de Sousa Sampaio (SAMPAIO, F. S.), EMANUEL FREITAS DA SILVA (SILVA, E. F.), Pedro Henrique Almeida Bezerra (BEZERRA, P. H. A.)",A3,,
Artigo Publicado,IMPLICAÇÕES DA CONTRARREFORMA DO ENSINO MÉDIO NA EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA BRASILEIRA,2023,,,,REVISTA ELETRÔNICA CIENTÍFICA ENSINO INTERDISCIPLINAR,,,"Fabrício de Sousa Sampaio (SAMPAIO, F. S.)",A3,,
Artigo Publicado,Gamifying the teaching of facial expressions for children with autistic spectrum disorder,2020,,,,REVISTA EDAPECI: EDUCAÇÃO A DISTÂNCIA E PRÁTICAS EDUCATIVAS COMUNICACIONAIS E INTERCULTURAIS,,,"Alvaro Itauna Schalcher Pereira (PEREIRA, A. I. S.), Dina Karla Placido Nascimento (NASCIMENTO, D. K. P.), FRANCISCO ADELTON (ADELTON, F.), Miguel de Sousa Freitas (FREITAS, M. S.)",B1,,
Artigo Publicado,"The Cook Sorcerer: a game to assist in the treatment of symbolic behavior, favoring generalized recombinative reading in autistic children",2023,,,,CADERNO PEDAGÓGICO (LAJEADO. ONLINE),,,"FRANÇA, FERNANDA ALINE COSTA (FRANÇA, FERNANDA ALINE COSTA), RIBEIRO, FRANCISCO ADELTON ALVES (RIBEIRO, FRANCISCO ADELTON ALVES), PEREIRA, ALVARO ITAUNA SCHALCHER (PEREIRA, ALVARO ITAUNA SCHALCHER), Dina Karla Placido Nascimento (NASCIMENTO, DINA KARLA PLACIDO), SILVA, LUIS FERNANDO MAIA SANTOS (SILVA, LUIS FERNANDO MAIA SANTOS), GONÇALVES, MARCELO EUGÊNIO DE CASTRO (GONÇALVES, MARCELO EUGÊNIO DE CASTRO), MEIRELES, FLORIZA GOMIDE SALES ROSA (MEIRELES, FLORIZA GOMIDE SALES ROSA), ALVES, THIAGO GOMES (ALVES, THIAGO GOMES)",A1,,
Artigo Publicado,Pensamento político de maquiavel: dicotomia entre ética e governo para conquista e manutenção do poder,2023,,,,CUADERNOS DE EDUCACIÓN Y DESARROLLO,,,"Vicente Gregório de Sousa Filho (SOUSA FILHO, V. G.), Sílvia Mônica Moura Lima (LIMA, Silvia Mônica Moura), Liana Eida Marques dos Reis (REIS, Liana Eida Mrques), Hellem Torres Saraiva (TORRES, H. S.), Isa Marília silva de Oliveira (OLIVEIRA, I. M. S.)",A2,,
Artigo Publicado,SEMÂNTICA EM LIVROS DIDÁTICOS LUSÓFONOS: BRASIL E TIMOR-LESTE,2022,,,,VERBUM - Cadernos de Pós Graduação,,,"Larissa de Farias Silveira (SILVEIRA, L. F.), Sônia Maria Nogueira (NOGUEIRA, S. M.), Joselias da Costa Matos (MATOS, J. C.)",A1,,
Artigo Publicado,CADÊ A PALAVRA QUE ESTAVA AQUI? O IMPLÍCITO COMEU! IMPLÍCITOS SEMÂNTICOS NO LIVRO DIDÁTICO DE LÍNGUA PORTUGUESA,2022,,,,Revista Interfaces,,,"Joselias da Costa Matos (MATOS, J. C.), Sônia Maria Nogueira (NOGUEIRA, S. M.)",A2,,
Artigo Publicado,Boamente: A Natural Language Processing-Based Digital Phenotyping Tool for Smart Monitoring of Suicidal Ideation,2022,,,,Healthcare,,,"Evandro Jose dos Santos Diniz (DINIZ, EVANDRO J. S.), TELES, ARIEL S. (TELES, ARIEL S.), FONTENELE, JOSÉ E. (FONTENELE, JOSÉ E.), DE OLIVEIRA, ADONIAS C. (DE OLIVEIRA, ADONIAS C.), BASTOS, VICTOR H. (BASTOS, VICTOR H.), TEIXEIRA, SILMAR (TEIXEIRA, SILMAR), RABÊLO, RICARDO L. (RABÊLO, RICARDO L.), CALÇADA, DARIO B. (CALÇADA, DARIO B.), DOS SANTOS, RENATO M. (DOS SANTOS, RENATO M.), DE OLIVEIRA, ANA K. (DE OLIVEIRA, ANA K.)",A3,,
Artigo Publicado,How can machine learning identify suicidal ideation from user's texts? Towards the explanation of the Boamente system,2022,,,,PROCEDIA COMPUTER SCIENCE,,,"DE OLIVEIRA, ADONIAS C. (DE OLIVEIRA, ADONIAS C.), Evandro Jose dos Santos Diniz (DINIZ, EVANDRO J.S.), TEIXEIRA, SILMAR (TEIXEIRA, SILMAR), TELES, ARIEL S. (TELES, ARIEL S.)",A4,,
Artigo Publicado,Desafios da Educação Ambiental Crítica em Escolas Públicas de Mossoró (RN),2021,,,,REVISTA BRASILEIRA DE EDUCAÇÃO AMBIENTAL (ONLINE),,,"João Paulo Pereira Rebouças (REBOUÇAS, J. P. P.), Gustavo Ferreira da Costa Lima (LIMA, Gustavo Ferreira da Costa), Edevaldo da Silva (SILVA, E.)",B2,,
Artigo Publicado,A Educação ambiental crítica brasileira frente às crises contemporâneas: desafios e potencialidades,2022,,,,REVISTA BRASILEIRA DE EDUCAÇÃO AMBIENTAL (ONLINE),,,"Gustavo Ferreira da Costa Lima (LIMA, Gustavo Ferreira da Costa), Maria Betânia Ribeiro Torres (TORRES, Maria Betãnia R.), João Paulo Pereira Rebouças (REBOUÇAS, J. P. P.)",B2,,
Artigo Publicado,"191R. gest. sust. ambient., Florianópolis, v. 9, n. 1, p. 191-213, jan/mar. 2020.DESCARTE DE MEDICAMENTOS VENCIDOS DAS DROGARIAS NO MUNICÍPIO DE MOSSORÓ/RN",2020,,,,Revista Gestão e Sustentabilidade Ambiental,,,"Regina Cleane Marrocos (MARROCOS, R. C.), João Paulo Pereira Rebouças (REBOUÇAS, J. P. P.), Glória Maria Marinho Silva (SILVA, G. M. M.)",B4,,
